date,composite
2025-05-22,21.73
2025-05-23,22.24
2025-05-27,21.25
2025-05-28,21.69
2025-05-29,22.10
2025-05-30,23.09
2025-06-02,23.20
2025-06-03,21.74
2025-06-04,22.06
2025-06-05,21.91
2025-06-06,20.72
2025-06-09,19.95
2025-06-10,19.95
2025-06-11,20.90
2025-06-12,21.24
2025-06-13,22.63
2025-06-16,21.96
2025-06-17,22.61
2025-06-18,21.94
2025-06-20,20.96
2025-06-23,20.35
2025-06-24,20.58
2025-06-25,20.40
2025-06-26,20.15
2025-06-27,19.96
2025-06-30,20.01
2025-07-01,16.56
2025-07-02,15.21
2025-07-03,15.45
2025-07-07,13.37
2025-07-08,13.36
2025-07-09,14.00
2025-07-10,14.03
2025-07-11,13.28
2025-07-14,13.24
2025-07-15,13.07
2025-07-16,12.89
2025-07-17,12.96
2025-07-18,13.20
2025-07-21,13.99
2025-07-22,14.59
2025-07-23,15.11
2025-07-24,16.16
2025-07-25,16.56
2025-07-28,15.56
2025-07-29,16.22
2025-07-30,16.97
2025-07-31,16.85
2025-08-01,17.64
2025-08-04,17.99
2025-08-05,17.95
2025-08-06,18.08
2025-08-07,18.28
2025-08-08,18.82
2025-08-11,18.83
2025-08-12,18.36
2025-08-13,17.89
2025-08-14,17.84
2025-08-15,17.75
2025-08-18,17.26
2025-08-19,17.09
2025-08-20,16.91
2025-08-21,16.32
2025-08-22,14.58
2025-08-25,14.83
2025-08-26,13.87
2025-08-27,13.48
2025-08-28,13.94
2025-08-29,13.30
2025-09-02,13.53
2025-09-03,13.73
2025-09-04,13.81
2025-09-05,14.04
2025-09-08,14.73
2025-09-09,15.42
2025-09-10,16.02
2025-09-11,15.74
2025-09-12,15.18
2025-09-15,15.22
2025-09-16,15.42
2025-09-17,14.49
2025-09-18,14.34
2025-09-19,14.95
2025-09-22,16.21
2025-09-23,15.71
2025-09-24,15.37
2025-09-25,16.13
2025-09-26,15.79
2025-09-29,16.36
2025-09-30,17.63
2025-10-01,17.72
2025-10-02,18.31
2025-10-03,17.93
2025-10-06,17.79
2025-10-07,17.74
2025-10-08,18.43
2025-10-09,18.52
2025-10-10,20.65
2025-10-13,19.16
2025-10-14,17.91
2025-10-15,18.85
2025-10-16,21.21
2025-10-17,20.50
2025-10-20,20.14
2025-10-21,19.99
2025-10-22,19.40
2025-10-23,19.13
2025-10-24,18.74
2025-10-27,18.91
2025-10-28,18.89
2025-10-29,19.37
2025-10-30,18.21
2025-10-31,18.04
2025-11-03,18.46
2025-11-04,18.11
2025-11-05,16.81
2025-11-06,17.48
2025-11-07,16.81
2025-11-10,17.60
2025-11-11,18.15
2025-11-12,18.40
2025-11-13,17.99
2025-11-14,17.98
2025-11-17,19.41
2025-11-18,19.21
2025-11-19,18.81
2025-11-20,19.72
2025-11-21,18.97
2025-11-24,19.49
2025-11-25,18.80
2025-11-26,18.72
2025-11-28,19.22
2025-12-01,18.63
2025-12-02,18.34
2025-12-03,17.89
2025-12-04,16.99
2025-12-05,16.97
2025-12-08,16.17
2025-12-09,16.23
2025-12-10,14.86
2025-12-11,14.42
2025-12-12,13.09
2025-12-15,12.58
2025-12-16,13.31
2025-12-17,13.75
2025-12-18,13.38
2025-12-19,13.07
2025-12-22,12.84
2025-12-23,13.66
2025-12-24,14.09
2025-12-26,14.21
2025-12-29,13.95
2025-12-30,13.70
2025-12-31,13.10
2026-01-02,12.23
2026-01-05,12.17
2026-01-06,12.40
2026-01-07,12.52
2026-01-08,11.09
2026-01-09,11.93
2026-01-12,11.46
2026-01-13,11.94
2026-01-14,12.66
2026-01-15,11.58
2026-01-16,11.22
2026-01-20,10.93
2026-01-21,11.16
2026-01-22,11.22
2026-01-23,11.29
2026-01-26,11.16
2026-01-27,10.87
2026-01-28,10.93
2026-01-29,10.87
2026-01-30,10.69
2026-02-02,10.85
2026-02-03,11.13
2026-02-04,11.05
2026-02-05,11.13
2026-02-06,11.29
2026-02-09,10.91
2026-02-10,11.35
2026-02-11,11.73
2026-02-12,12.07
2026-02-13,12.01
2026-02-17,12.23
2026-02-18,12.26
2026-02-19,12.25
2026-02-20,12.23
2026-02-23,12.36
2026-02-24,12.28
2026-02-25,12.22
2026-02-26,12.33
2026-02-27,13.38
2026-03-02,12.55
2026-03-03,13.02
2026-03-04,12.69
2026-03-05,12.68
2026-03-06,14.08
2026-03-09,15.18
2026-03-10,14.16
2026-03-11,14.91
2026-03-12,15.89
2026-03-13,17.57
2026-03-16,17.61
2026-03-17,18.08
2026-03-18,18.57
2026-03-19,18.32
2026-03-20,18.46
2026-03-23,17.16
2026-03-24,16.83
2026-03-25,16.55
2026-03-26,16.24
2026-03-27,16.50
2026-03-30,16.58
2026-03-31,15.33
2026-04-01,15.02
2026-04-02,15.35
2026-04-06,14.94
2026-04-07,15.16
2026-04-08,13.92
2026-04-09,13.50
2026-04-10,14.49
2026-04-13,13.74
2026-04-14,13.90
2026-04-15,13.80
2026-04-16,14.50
2026-04-17,14.76
2026-04-20,14.61
2026-04-21,15.40
2026-04-22,17.39
2026-04-23,16.78
2026-04-24,15.90
2026-04-27,15.00
2026-04-28,15.29
2026-04-29,16.50
2026-04-30,16.83
2026-05-01,16.75
2026-05-04,17.87
2026-05-05,18.52
2026-05-06,18.90
2026-05-07,19.51
2026-05-08,19.82
2026-05-11,20.63
2026-05-12,20.47
2026-05-13,21.00
2026-05-14,20.94
2026-05-15,21.35
2026-05-18,20.44
2026-05-19,20.32
2026-05-20,19.42
2026-05-21,19.85
2026-05-22,18.99
2026-05-25,18.55
2026-05-26,18.14
2026-05-27,18.97
2026-05-28,8.96
2026-05-29,18.20
2026-06-01,15.43
2026-06-02,8.27
2026-06-03,19.12
2026-06-04,17.54
2026-06-05,16.46
2026-06-08,16.43
2026-06-09,15.33
2026-06-10,14.70
2026-06-11,14.99
2026-06-12,14.37
2026-06-15,15.29
2026-06-16,15.17
2026-06-17,16.78
2026-06-18,17.04
